date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:32:17	5272/5272	---M--	200	added ('OK')	text/html	date:Fri,%2012%20May%202017%2002:32:16%20GMT	http://localhost/login.asp	C:/Documents%20and%20Settings/xiamx/My%20Documents/travianal/localhost/login.html	(from http://localhost/)
22:32:17	6337/6337	---M--	200	added ('OK')	text/html	date:Fri,%2012%20May%202017%2002:32:17%20GMT	http://localhost/register.asp	C:/Documents%20and%20Settings/xiamx/My%20Documents/travianal/localhost/register.html	(from http://localhost/)
22:32:18	24227/24227	---M--	200	added ('OK')	text/html	date:Fri,%2012%20May%202017%2002:32:17%20GMT	http://localhost/search.asp?searchType=Comments	C:/Documents%20and%20Settings/xiamx/My%20Documents/travianal/localhost/searchdf74.html	(from http://localhost/)
22:32:19	16442/16442	---M--	200	added ('OK')	text/html	date:Fri,%2012%20May%202017%2002:32:18%20GMT	http://localhost/search.asp?searchType=trackback	C:/Documents%20and%20Settings/xiamx/My%20Documents/travianal/localhost/search0741.html	(from http://localhost/)
22:32:19	13106/13106	---M--	200	added ('OK')	text/html	date:Fri,%2012%20May%202017%2002:32:18%20GMT	http://localhost/member.asp	C:/Documents%20and%20Settings/xiamx/My%20Documents/travianal/localhost/member.html	(from http://localhost/)
22:32:20	1891/1891	---M-Z	200	added ('OK')	application/javascript	etag:%22142406d2e97d21:0%22	http://js.users.51.la/968619.js	C:/Documents%20and%20Settings/xiamx/My%20Documents/travianal/js.users.51.la/968619.js	(from http://localhost/)
22:32:20	121/121	---M--	302	error ('Object%20moved')	text/html	date:Fri,%2012%20May%202017%2002:32:20%20GMT	http://localhost/default.asp?id=2	C:/Documents%20and%20Settings/xiamx/My%20Documents/travianal/localhost/default.1d0b30.delayed	(from http://localhost/)
22:32:21	43753/43753	---M--	200	added ('OK')	text/html	date:Fri,%2012%20May%202017%2002:32:20%20GMT	http://localhost/article.asp?id=2	C:/Documents%20and%20Settings/xiamx/My%20Documents/travianal/localhost/article0b30.html	(from http://localhost/)
22:32:21	121/121	---M--	302	error ('Object%20moved')	text/html	date:Fri,%2012%20May%202017%2002:32:20%20GMT	http://localhost/default.asp?id=1	C:/Documents%20and%20Settings/xiamx/My%20Documents/travianal/localhost/default.1f681a.delayed	(from http://localhost/)
22:32:22	44680/44680	---M--	200	added ('OK')	text/html	date:Fri,%2012%20May%202017%2002:32:22%20GMT	http://localhost/article.asp?id=1	C:/Documents%20and%20Settings/xiamx/My%20Documents/travianal/localhost/article681a.html	(from http://localhost/)
22:32:23	21506/21506	---M--	200	added ('OK')	text/html	date:Fri,%2012%20May%202017%2002:32:22%20GMT	http://localhost/default.asp?log_Year=2007	C:/Documents%20and%20Settings/xiamx/My%20Documents/travianal/localhost/default45e7.html	(from http://localhost/)
22:32:24	21832/21832	---M--	200	added ('OK')	text/html	date:Fri,%2012%20May%202017%2002:32:24%20GMT	http://localhost/default.asp?log_Year=2007&log_Month=10	C:/Documents%20and%20Settings/xiamx/My%20Documents/travianal/localhost/defaultc109.html	(from http://localhost/)
22:32:25	18418/18418	---M--	200	added ('OK')	text/html	date:Fri,%2012%20May%202017%2002:32:24%20GMT	http://localhost/default.asp?log_Year=	C:/Documents%20and%20Settings/xiamx/My%20Documents/travianal/localhost/default4b0b.html	(from http://localhost/)
22:32:25	18418/18418	---M--	200	added ('OK')	text/html	date:Fri,%2012%20May%202017%2002:32:24%20GMT	http://localhost/default.asp?log_Year=&log_Month=	C:/Documents%20and%20Settings/xiamx/My%20Documents/travianal/localhost/default684d.html	(from http://localhost/)
22:32:26	19044/19044	---M--	200	added ('OK')	text/html	date:Fri,%2012%20May%202017%2002:32:25%20GMT	http://localhost/bloglink.asp	C:/Documents%20and%20Settings/xiamx/My%20Documents/travianal/localhost/bloglink.html	(from http://localhost/)
22:32:26	1121/1121	---M--	200	added ('OK')	image/png	etag:%220ac10893123c81:9cf%22	http://localhost/images/xhtml.png	C:/Documents%20and%20Settings/xiamx/My%20Documents/travianal/localhost/images/xhtml.png	(from http://localhost/)
22:32:26	1133/1133	---M--	200	added ('OK')	image/png	etag:%220878eb73123c81:9cf%22	http://localhost/images/css.png	C:/Documents%20and%20Settings/xiamx/My%20Documents/travianal/localhost/images/css.png	(from http://localhost/)
22:32:27	1477/1477	---M--	200	added ('OK')	text/xml	date:Fri,%2012%20May%202017%2002:32:26%20GMT	http://localhost/feed.asp	C:/Documents%20and%20Settings/xiamx/My%20Documents/travianal/localhost/feed.asp	(from http://localhost/)
22:32:27	282/282	---M--	200	added ('OK')	image/png	etag:%220ba37903123c81:9cf%22	http://localhost/images/rss2.png	C:/Documents%20and%20Settings/xiamx/My%20Documents/travianal/localhost/images/rss2.png	(from http://localhost/)
22:32:27	1919/1919	---M--	200	added ('OK')	text/xml	date:Fri,%2012%20May%202017%2002:32:26%20GMT	http://localhost/atom.asp	C:/Documents%20and%20Settings/xiamx/My%20Documents/travianal/localhost/atom.asp	(from http://localhost/)
22:32:27	280/280	---M--	200	added ('OK')	image/png	etag:%220c2e6bf3123c81:9cf%22	http://localhost/images/atom.png	C:/Documents%20and%20Settings/xiamx/My%20Documents/travianal/localhost/images/atom.png	(from http://localhost/)
22:32:27	809/809	---M--	200	added ('OK')	image/gif	etag:%2204c36af3123c81:9cf%22	http://localhost/images/firefox.gif	C:/Documents%20and%20Settings/xiamx/My%20Documents/travianal/localhost/images/firefox.gif	(from http://localhost/)
22:32:28	880/880	---M--	200	added ('OK')	image/png	etag:%220e22bb3123c81:9cf%22	http://localhost/images/cc.png	C:/Documents%20and%20Settings/xiamx/My%20Documents/travianal/localhost/images/cc.png	(from http://localhost/)
22:32:28	394/394	---M--	200	added ('OK')	image/jpeg	etag:%2208143113323c81:9cf%22	http://localhost/skins/defaultFlash/main.jpg	C:/Documents%20and%20Settings/xiamx/My%20Documents/travianal/localhost/skins/defaultFlash/main.jpg	(from http://localhost/skins/defaultFlash/layout.css)
22:32:28	874/874	---M--	200	added ('OK')	image/png	etag:%220bf5753323c81:9cf%22	http://localhost/skins/defaultFlash/topbar.png	C:/Documents%20and%20Settings/xiamx/My%20Documents/travianal/localhost/skins/defaultFlash/topbar.png	(from http://localhost/skins/defaultFlash/layout.css)
22:32:29	414/414	---M--	200	added ('OK')	image/jpeg	etag:%2205412103323c81:9cf%22	http://localhost/skins/defaultFlash/menu_main.jpg	C:/Documents%20and%20Settings/xiamx/My%20Documents/travianal/localhost/skins/defaultFlash/menu_main.jpg	(from http://localhost/skins/defaultFlash/layout.css)
22:32:29	292/292	---M--	200	added ('OK')	image/png	etag:%220ae74123323c81:9cf%22	http://localhost/skins/defaultFlash/menu_div.png	C:/Documents%20and%20Settings/xiamx/My%20Documents/travianal/localhost/skins/defaultFlash/menu_div.png	(from http://localhost/skins/defaultFlash/layout.css)
22:32:29	252/252	---M--	200	added ('OK')	image/png	etag:%2208d7143323c81:9cf%22	http://localhost/skins/defaultFlash/left_main.png	C:/Documents%20and%20Settings/xiamx/My%20Documents/travianal/localhost/skins/defaultFlash/left_main.png	(from http://localhost/skins/defaultFlash/layout.css)
22:32:30	693/693	---M--	200	added ('OK')	image/png	etag:%220dba5133323c81:9cf%22	http://localhost/skins/defaultFlash/left_top.png	C:/Documents%20and%20Settings/xiamx/My%20Documents/travianal/localhost/skins/defaultFlash/left_top.png	(from http://localhost/skins/defaultFlash/layout.css)
22:32:30	706/706	---M--	200	added ('OK')	image/png	etag:%220358163323c81:9cf%22	http://localhost/skins/defaultFlash/left_bottom.png	C:/Documents%20and%20Settings/xiamx/My%20Documents/travianal/localhost/skins/defaultFlash/left_bottom.png	(from http://localhost/skins/defaultFlash/layout.css)
22:32:30	52/52	---M--	200	added ('OK')	image/gif	etag:%220a04db3323c81:9cf%22	http://localhost/skins/defaultFlash/sidebar.gif	C:/Documents%20and%20Settings/xiamx/My%20Documents/travianal/localhost/skins/defaultFlash/sidebar.gif	(from http://localhost/skins/defaultFlash/layout.css)
22:32:30	264/264	---M--	200	added ('OK')	image/png	etag:%220cd7ec3323c81:9cf%22	http://localhost/skins/defaultFlash/right_main.png	C:/Documents%20and%20Settings/xiamx/My%20Documents/travianal/localhost/skins/defaultFlash/right_main.png	(from http://localhost/skins/defaultFlash/layout.css)
22:32:30	746/746	---M--	200	added ('OK')	image/png	etag:%220cd7ec3323c81:9cf%22	http://localhost/skins/defaultFlash/right_top.png	C:/Documents%20and%20Settings/xiamx/My%20Documents/travianal/localhost/skins/defaultFlash/right_top.png	(from http://localhost/skins/defaultFlash/layout.css)
22:32:31	762/762	---M--	200	added ('OK')	image/png	etag:%22027e1e3323c81:9cf%22	http://localhost/skins/defaultFlash/right_bottom.png	C:/Documents%20and%20Settings/xiamx/My%20Documents/travianal/localhost/skins/defaultFlash/right_bottom.png	(from http://localhost/skins/defaultFlash/layout.css)
22:32:31	63/63	---M--	200	added ('OK')	image/gif	etag:%22084d2cb3123c81:9cf%22	http://localhost/images/BttnLeft.gif	C:/Documents%20and%20Settings/xiamx/My%20Documents/travianal/localhost/images/BttnLeft.gif	(from http://localhost/skins/defaultFlash/layout.css)
22:32:31	64/64	---M--	200	added ('OK')	image/gif	etag:%22084d2cb3123c81:9cf%22	http://localhost/images/BttnRight.gif	C:/Documents%20and%20Settings/xiamx/My%20Documents/travianal/localhost/images/BttnRight.gif	(from http://localhost/skins/defaultFlash/layout.css)
22:32:32	21365/21365	---M--	200	added ('OK')	image/png	etag:%22019ba73323c81:9cf%22	http://localhost/skins/defaultFlash/title_main.png	C:/Documents%20and%20Settings/xiamx/My%20Documents/travianal/localhost/skins/defaultFlash/title_main.png	(from http://localhost/skins/defaultFlash/layout.css)
22:32:32	194/194	---M--	200	added ('OK')	image/png	etag:%220bc9b193323c81:9cf%22	http://localhost/skins/defaultFlash/dot.png	C:/Documents%20and%20Settings/xiamx/My%20Documents/travianal/localhost/skins/defaultFlash/dot.png	(from http://localhost/skins/defaultFlash/layout.css)
22:32:33	320/320	---M--	200	added ('OK')	image/gif	etag:%220922643323c81:9cf%22	http://localhost/skins/defaultFlash/ubbback.gif	C:/Documents%20and%20Settings/xiamx/My%20Documents/travianal/localhost/skins/defaultFlash/ubbback.gif	(from http://localhost/skins/defaultFlash/layout.css)
22:32:34	21958/21958	---M--	200	added ('OK')	image/png	etag:%220731ca3323c81:9cf%22	http://localhost/skins/defaultFlash/title_left.png	C:/Documents%20and%20Settings/xiamx/My%20Documents/travianal/localhost/skins/defaultFlash/title_left.png	(from http://localhost/skins/defaultFlash/layout.css)
22:32:34	1128/1128	---M--	200	added ('OK')	image/jpeg	etag:%220a3dcc53123c81:9cf%22	http://localhost/images/Message.jpg	C:/Documents%20and%20Settings/xiamx/My%20Documents/travianal/localhost/images/Message.jpg	(from http://localhost/skins/defaultFlash/layout.css)
22:32:34	21718/21718	---M--	200	added ('OK')	image/png	etag:%22019ba73323c81:9cf%22	http://localhost/skins/defaultFlash/title_right.png	C:/Documents%20and%20Settings/xiamx/My%20Documents/travianal/localhost/skins/defaultFlash/title_right.png	(from http://localhost/skins/defaultFlash/layout.css)
22:32:34	1318/1318	---M--	200	added ('OK')	image/jpeg	etag:%220d0dc73123c81:9cf%22	http://localhost/images/Error.jpg	C:/Documents%20and%20Settings/xiamx/My%20Documents/travianal/localhost/images/Error.jpg	(from http://localhost/skins/defaultFlash/layout.css)
22:32:34	1273/1273	---M--	200	added ('OK')	image/jpeg	etag:%22076abc43123c81:9cf%22	http://localhost/images/Warning.jpg	C:/Documents%20and%20Settings/xiamx/My%20Documents/travianal/localhost/images/Warning.jpg	(from http://localhost/skins/defaultFlash/layout.css)
22:32:34	1201/1201	---M--	200	added ('OK')	image/jpeg	etag:%22076abc43123c81:9cf%22	http://localhost/images/Question.jpg	C:/Documents%20and%20Settings/xiamx/My%20Documents/travianal/localhost/images/Question.jpg	(from http://localhost/skins/defaultFlash/layout.css)
22:32:35	64/64	---M--	200	added ('OK')	image/gif	etag:%220de34ce3123c81:9cf%22	http://localhost/images/BttnCllps.gif	C:/Documents%20and%20Settings/xiamx/My%20Documents/travianal/localhost/images/BttnCllps.gif	(from http://localhost/skins/defaultFlash/typography.css)
22:32:35	64/64	---M--	200	added ('OK')	image/gif	etag:%220de34ce3123c81:9cf%22	http://localhost/images/BttnExpnd.gif	C:/Documents%20and%20Settings/xiamx/My%20Documents/travianal/localhost/images/BttnExpnd.gif	(from http://localhost/skins/defaultFlash/typography.css)
22:32:35	331/331	---M--	200	added ('OK')	image/jpeg	etag:%220f58f983123c81:9cf%22	http://localhost/images/nicetitlebg.jpg	C:/Documents%20and%20Settings/xiamx/My%20Documents/travianal/localhost/images/nicetitlebg.jpg	(from http://localhost/skins/defaultFlash/typography.css)
22:32:36	222/222	---M--	200	added ('OK')	image/gif	etag:%22016fe1b3323c81:9cf%22	http://localhost/skins/defaultFlash/arrow.gif	C:/Documents%20and%20Settings/xiamx/My%20Documents/travianal/localhost/skins/defaultFlash/arrow.gif	(from http://localhost/skins/defaultFlash/link.css)
22:32:36	1176/1176	---M--	200	added ('OK')	image/gif	etag:%220e9cc1a3323c81:9cf%22	http://localhost/skins/defaultFlash/bullet-arrow.gif	C:/Documents%20and%20Settings/xiamx/My%20Documents/travianal/localhost/skins/defaultFlash/bullet-arrow.gif	(from http://localhost/skins/defaultFlash/link.css)
22:32:36	110/110	---M--	200	added ('OK')	image/gif	etag:%2206738b3123c81:9cf%22	http://localhost/images/tools.gif	C:/Documents%20and%20Settings/xiamx/My%20Documents/travianal/localhost/images/tools.gif	(from http://localhost/skins/defaultFlash/link.css)
22:32:36	143/143	---M--	200	added ('OK')	image/gif	etag:%2207c239c3123c81:9cf%22	http://localhost/images/mm_snd.gif	C:/Documents%20and%20Settings/xiamx/My%20Documents/travianal/localhost/images/mm_snd.gif	(from http://localhost/skins/defaultFlash/link.css)
22:32:36	547/547	---M--	200	added ('OK')	image/gif	etag:%220a3dcc53123c81:9cf%22	http://localhost/images/MyFa.gif	C:/Documents%20and%20Settings/xiamx/My%20Documents/travianal/localhost/images/MyFa.gif	(from http://localhost/skins/defaultFlash/link.css)
22:32:37	151/151	---M--	200	added ('OK')	image/gif	etag:%220f2d3ac3123c81:9cf%22	http://localhost/images/ico_skdaq.gif	C:/Documents%20and%20Settings/xiamx/My%20Documents/travianal/localhost/images/ico_skdaq.gif	(from http://localhost/skins/defaultFlash/link.css)
22:32:37	983/983	---M--	200	added ('OK')	image/gif	etag:%2206b40a93123c81:9cf%22	http://localhost/images/icon_normal.gif	C:/Documents%20and%20Settings/xiamx/My%20Documents/travianal/localhost/images/icon_normal.gif	(from http://localhost/skins/defaultFlash/link.css)
22:32:37	574/574	---M--	200	added ('OK')	image/gif	etag:%220e4aca53123c81:9cf%22	http://localhost/images/icon_topic.gif	C:/Documents%20and%20Settings/xiamx/My%20Documents/travianal/localhost/images/icon_topic.gif	(from http://localhost/skins/defaultFlash/link.css)
22:32:38	71/71	---M--	200	added ('OK')	image/gif	etag:%2206b40a93123c81:9cf%22	http://localhost/images/icon_offsite_red.gif	C:/Documents%20and%20Settings/xiamx/My%20Documents/travianal/localhost/images/icon_offsite_red.gif	(from http://localhost/skins/defaultFlash/link.css)
22:32:38	102/102	---M--	200	added ('OK')	image/gif	etag:%2209d911f3323c81:9cf%22	http://localhost/skins/defaultFlash/UBB/bar.gif	C:/Documents%20and%20Settings/xiamx/My%20Documents/travianal/localhost/skins/defaultFlash/UBB/bar.gif	(from http://localhost/skins/defaultFlash/UBB/editor.css)
22:32:38	162/162	---M--	200	added ('OK')	image/gif	etag:%2204ff29a3123c81:9cf%22	http://localhost/images/mm_snd_stop.gif	C:/Documents%20and%20Settings/xiamx/My%20Documents/travianal/localhost/images/mm_snd_stop.gif	(from http://localhost/common/common.js)
22:32:39	845/845	---M--	200	added ('OK')	image/gif	date:Fri,%2012%20May%202017%2002:32:38%20GMT	http://localhost/common/getCode.asp?s=	C:/Documents%20and%20Settings/xiamx/My%20Documents/travianal/localhost/common/getCode1919.gif	(from http://localhost/common/common.js)
22:32:39	0/0	---M--	200	added ('OK')	text/html	date:Fri,%2012%20May%202017%2002:32:39%20GMT	http://localhost/getValidateKey.asp?tbID=	C:/Documents%20and%20Settings/xiamx/My%20Documents/travianal/localhost/getValidateKey.565eac.delayed	(from http://localhost/common/common.js)
22:32:39	607/607	---M--	200	added ('OK')	image/gif	etag:%220b77ba43123c81:9cf%22	http://localhost/images/image.gif	C:/Documents%20and%20Settings/xiamx/My%20Documents/travianal/localhost/images/image.gif	(from http://localhost/tag.asp)
22:32:40	21529/21529	---M--	200	added ('OK')	text/html	date:Fri,%2012%20May%202017%2002:32:39%20GMT	http://localhost/default.asp?tag=Travian	C:/Documents%20and%20Settings/xiamx/My%20Documents/travianal/localhost/defaultc43d.html	(from http://localhost/tag.asp)
22:32:41	21535/21535	---M--	200	added ('OK')	text/html	date:Fri,%2012%20May%202017%2002:32:40%20GMT	http://localhost/default.asp?tag=Travianal	C:/Documents%20and%20Settings/xiamx/My%20Documents/travianal/localhost/defaulte783.html	(from http://localhost/tag.asp)
22:32:42	21550/21550	---M--	200	added ('OK')	text/html	date:Fri,%2012%20May%202017%2002:32:40%20GMT	http://localhost/default.asp?tag=%E8%BE%85%E5%8A%A9	C:/Documents%20and%20Settings/xiamx/My%20Documents/travianal/localhost/default16bc.html	(from http://localhost/tag.asp)
22:32:42	18490/18490	---M--	200	added ('OK')	text/html	date:Fri,%2012%20May%202017%2002:32:42%20GMT	http://localhost/default.asp?tag=test	C:/Documents%20and%20Settings/xiamx/My%20Documents/travianal/localhost/default6db7.html	(from http://localhost/tag.asp)
22:32:43	18490/18490	---M--	200	added ('OK')	text/html	date:Fri,%2012%20May%202017%2002:32:42%20GMT	http://localhost/default.asp?tag=testversion	C:/Documents%20and%20Settings/xiamx/My%20Documents/travianal/localhost/defaultb625.html	(from http://localhost/tag.asp)
22:32:44	18490/18490	---M--	200	added ('OK')	text/html	date:Fri,%2012%20May%202017%2002:32:43%20GMT	http://localhost/default.asp?tag=%E6%B5%8B%E8%AF%95	C:/Documents%20and%20Settings/xiamx/My%20Documents/travianal/localhost/default8a79.html	(from http://localhost/tag.asp)
22:32:44	317/317	---M--	200	added ('OK')	image/gif	etag:%2203efa83123c81:9cf%22	http://localhost/images/icon_quote.gif	C:/Documents%20and%20Settings/xiamx/My%20Documents/travianal/localhost/images/icon_quote.gif	(from http://localhost/LoadMod.asp?plugins=GuestBookForPJBlog)
22:32:44	4696/4696	---M--	200	added ('OK')	text/html	date:Fri,%2012%20May%202017%2002:32:44%20GMT	http://localhost/member.asp?action=view&memName=DeathDuo	C:/Documents%20and%20Settings/xiamx/My%20Documents/travianal/localhost/memberad3b.html	(from http://localhost/LoadMod.asp?plugins=GuestBookForPJBlog)
22:32:44	2348/2348	---M--	200	added ('OK')	image/gif	etag:%2205ecb663223c81:9cf%22	http://localhost/Plugins/GuestBook/face/face5.gif	C:/Documents%20and%20Settings/xiamx/My%20Documents/travianal/localhost/Plugins/GuestBook/face/face5.gif	(from http://localhost/LoadMod.asp?plugins=GuestBookForPJBlog)
22:32:45	5390/5390	---M--	200	added ('OK')	text/html	date:Fri,%2012%20May%202017%2002:32:44%20GMT	http://localhost/member.asp?action=view&memName=kankan	C:/Documents%20and%20Settings/xiamx/My%20Documents/travianal/localhost/membere524.html	(from http://localhost/LoadMod.asp?plugins=GuestBookForPJBlog)
